,Date,Price,EMA12,EMA26,MACD,SIGNAL,CROSS,DIRECTION
243,2023-02-18,24631.4,23309.967983515955,23090.55048420382,219.41749931213417,-37.66341143065164,True,NONE
244,2023-02-19,24302.9,23493.22795318271,23195.060715631662,298.16723755104977,34.49287152050493,True,NONE
245,2023-02-20,24839.5,23731.77220624036,23340.265429594223,391.50677664613613,116.58452607520125,True,NONE
246,2023-02-21,24450.7,23871.789129143337,23437.31332653843,434.47580260490577,194.53623748091073,True,NONE
247,2023-02-22,24186.6,23967.60520451182,23505.224507369443,462.38069714237645,264.9274551928796,True,NONE
248,2023-02-23,23936.3,24008.335970553442,23546.290122103237,462.0458484502051,322.7355016081207,True,NONE
249,2023-02-24,23191.5,23909.02568567822,23521.74354689148,387.2821387867407,352.94380975903414,True,NONE
250,2023-02-25,23166.1,23822.02830523705,23489.177328164482,332.85097707256864,360.6922517376588,False,SELL
251,2023-02-26,23558.7,23816.866455908515,23502.028120425264,314.8383354832513,360.88161550432346,False,NONE
252,2023-02-27,23494.1,23792.852380327564,23505.352285116525,287.50009521103857,351.0821053889629,False,NONE
253,2023-02-28,23130.5,23667.253270131736,23471.27733616982,195.97593396191587,319.49691275414716,False,NONE
254,2023-03-01,23642.2,23665.429563217047,23486.213053348118,179.21650986892928,288.579109632467,False,NONE
255,2023-03-02,23465.4,23612.724451191363,23485.033868739276,127.69058245208726,250.05450102667803,False,NONE
256,2023-03-03,22354.4,23374.070064339845,23391.007485440434,-16.937421100588836,185.79599473061884,False,NONE
257,2023-03-04,22347.1,23177.36579768743,23307.43861257758,-130.07281489015077,108.36895663850903,False,NONE
258,2023-03-05,22428.3,23014.4028316479,23238.782104159596,-224.37927251169458,25.305260981795456,False,NONE
259,2023-03-06,22410.0,22881.028581640985,23168.46874220527,-287.4401605642852,-53.47632608757034,False,NONE
260,2023-03-07,22197.8,22736.554489443155,23088.439205586397,-351.88471614324226,-129.63140958832537,False,NONE
261,2023-03-08,21710.8,22534.699376242042,22985.525829746515,-450.82645350447274,-212.29082008726374,False,NONE
262,2023-03-09,20361.8,22144.402207210842,22777.679734865786,-633.2775276549437,-318.6402756172362,False,NONE
263,2023-03-10,20156.7,21779.040317474355,22565.480076124702,-786.4397586503474,-435.835177999244,False,NONE
264,2023-03-11,20467.5,21516.084361696063,22396.089447035243,-880.0050853391804,-550.151965481444,False,NONE
265,2023-03-12,21994.8,21560.059022264773,22368.719642604225,-808.6606203394513,-624.3804804327693,False,NONE
266,2023-03-13,24114.4,21972.50774438408,22518.338009378054,-545.830264993976,-621.3945677859055,True,BUY
